name,Team Ranking,Kills,Assists,Mobility (Driving),Mobility (Walking),DPS,Survival Time
cjwzdhs,4,4,1,0.180143184,2.260030051,0.270635003,1636.891
zhy1116,15,1,0,0,2.07435059,0.083312347,1584.399
BIGBETERHOF,32,0,0,3.074405901,1.155346699,0,930.316
Contona,37,1,0,1.319953072,1.121011353,0.360985886,709.169
GuildasMan,23,0,0,3.159914019,1.027321373,0.001677844,1192.006
BearKunKun,31,1,0,0.679648536,1.612315179,0.087234311,997.314
BreadRoller,44,1,0,0,2.229314912,0.246458656,750.633
LeeAnh4567,52,0,0,0,0.764548127,0,368.865
K4Kanuck,22,2,0,3.765512628,1.405241837,0.404242583,967.241
VOLLON,20,1,0,4.30863143,1.354118441,0.088746452,1205.682
SuperZRZovo,46,1,0,0,0.892251127,0.398406375,441.76
wqlaotie,9,1,0,0.142193922,1.099328754,0.103032719,1630.55
Captainponch,12,1,0,3.693158166,1.65094422,0.042662888,1547.012
Timordz,76,0,0,0,1.41235037,0.216517758,157.031
ReelDedicated,89,0,0,0,0.369975656,0,98.999
liyunlong0124,18,0,0,2.450135935,1.889667097,0,1414.646
Tank-Chiji,7,1,0,1.869951931,1.224284918,0.102558501,1647.84
nebraskabatman,66,0,0,0,0.917114572,0.116364313,343.748
MrBigGut,5,1,0,0,1.778786939,0.054272415,1658.301
chpdsb,37,0,0,0,2.139266367,0.052983201,811.578
Yulinshen,83,0,0,0,0.60338592,0.304701545,131.276
Loochie,27,1,0,0.85033521,1.645225117,0.039480228,1317.115
llqsmnz,9,1,0,0,2.533316806,0.116260129,1565.455
Cceline66,41,0,0,0,0.974465026,0,569.62
jinpaigeshou,11,1,1,1.004827856,2.056121648,0.112166538,1444.281
BrodieTh3Great,42,0,0,0,2.496932867,0.096406986,539.38
Rattlesnake-007,77,1,0,0,0.495962084,0.604532787,165.417
Sannet,49,1,0,3.086360993,1.810841273,0.511402004,353.929
huya-boy,76,0,0,0,0,0,148.222
DieDle,48,3,0,0,0.44174075,0.469597603,617.55
OvrDoseDnHAM,66,1,0,0,0.737821954,0.586042805,170.636
MucQAQ,77,0,0,0,0.919408211,0,165.336
Evil__God,78,0,0,0,0.348250692,0.214830215,144.3
ZHILEKUAIDIYUAN,17,3,0,2.964283383,1.554500171,0.219887596,1455.289
Rockerdlb,77,0,0,0,0.829915943,0.253438313,177.558
TheRealCurrent,53,0,0,1.256085421,0.947137624,0.260143522,361.339
laohuangsda,93,0,0,0,0,0,87.132
Iyokus,6,2,0,0,2.511711416,0.176982598,1717.683
AXDylan,6,1,0,0,1.666691684,0.123869915,1646.889
lzz1986,21,2,0,0.984260389,2.318777796,0.145489107,1367.8
duizhang666a,63,1,0,0,1.083775523,0.375152406,383.844
anangrygreekmob,40,2,0,0,1.115975026,0.357344492,752.775
Luciferzhanggg,36,2,0,1.189045855,1.326440875,0.263487601,759.049
TouRu_,25,1,0,0,1.151197152,0.084171329,1188.053
